Subject,Condition,TweetID,TweetAccuracy,TweetEngage,TEndTime,TPageTime,TPAccuracy,TPEngage,TPEndTime,TPPageTime,FakeRate,FEndTime,FPageTime,Political_View,Trust_Tweet,Photoshop
210,3,3,Very Inaccurate (1),No Engagement,10.184,11.125,Very Inaccurate (1),No Engagement,4.944,5.615,Definitely fake (1),2.493,3.108,0,1,1
211,1,3,Very Inaccurate (1),No Engagement,3.989,5.808,Very Inaccurate (1),No Engagement,4.01,6.472,I'm not sure (3),0,0.827,1,1,0
211,2,2,Neither Accurate nor Inaccurate (3),No Engagement,8.426,13.005,Somewhat Inaccurate (2),No Engagement,3.733,5.152,More real than fake (4),0,1.539,1,1,0
211,3,1,Very Inaccurate (1),No Engagement,4.162,5.254,Very Inaccurate (1),No Engagement,2.996,4.232,Definitely fake (1),0,1.958,1,1,0
212,1,2,Neither Accurate nor Inaccurate (3),No Engagement,13.918,15.226,Neither Accurate nor Inaccurate (3),No Engagement,2.045,3.119,More real than fake (4),4.245,5.623,1,2,1
212,2,1,Very Accurate (5),Like,2.169,3.701,Somewhat Accurate (4),Like,1.949,3.862,More real than fake (4),2.396,3.404,1,2,1
212,3,3,Very Inaccurate (1),No Engagement,3.252,5.293,Very Inaccurate (1),No Engagement,5.394,5.945,More fake than real (2),0,3.035,1,2,1
213,1,3,Very Inaccurate (1),No Engagement,6.647,12.02,Neither Accurate nor Inaccurate (3),No Engagement,2.768,4.028,I'm not sure (3),0,1.323,0,2,1
213,2,2,Neither Accurate nor Inaccurate (3),No Engagement,13.76,14.916,Neither Accurate nor Inaccurate (3),No Engagement,2.008,3.164,I'm not sure (3),0,3.324,0,2,1
213,3,1,Somewhat Accurate (4),Retweet,3.464,4.828,Somewhat Accurate (4),Retweet,3.504,5.404,I'm not sure (3),0,1.116,0,2,1
